Month,total_weight,gonadal_weight,GSI,Status,Immature,Mature,Embryos,Total_length,Standard_length
August,0.9468,0.0025,0.264047317,Non-breeding,61,57,0,44.32,35.62
August,0.7704,0.0016,0.20768432,Non-breeding,99,48,0,39.41,32.63
August,1.591,0.0169,1.062225016,Non-breeding,66,99,0,44.47,36.28
August,1.1742,0.0265,2.256855732,Non-breeding,73,106,0,46.57,38.37
September,0.7901,0.0088,1.113783065,Non-breeding,91,109,0,44.2,34.79
September,0.8319,0.0215,2.584445246,Non-breeding,93,101,0,46.69,36.28
September,0.6795,0.0068,1.000735835,Non-breeding,76,69,0,41.55,34.26
September,0.9719,0.0146,1.502212162,Non-breeding,86,78,0,48.36,39.81
September,1.0071,0.0126,1.251117069,Non-breeding,91,96,0,50.11,42.21
September,0.8149,0.0089,1.092158547,Non-breeding,82,62,0,45.2,36.77
September,0.7687,0.0153,1.990373358,Non-breeding,62,77,0,43.76,37.07
September,0.5961,0.0068,1.140748197,Non-breeding,76,89,0,41.33,35.91
September,1.0699,0.0203,1.897373586,Non-breeding,69,103,0,47.59,40.82
September,0.7655,0.0214,2.795558459,Non-breeding,71,107,0,44.55,37.39
September,0.8842,0.01,1.130965845,Non-breeding,58,52,0,44.07,35.4
September,0.6699,0.008,1.194208091,Non-breeding,53,80,0,39.43,31.95
September,0.763,0.0204,2.673656619,Non-breeding,60,94,0,43.75,37.64
September,1.2737,0.0164,1.287587344,Non-breeding,69,73,0,47.33,35.92
September,1.3373,0.0157,1.174007328,Non-breeding,66,106,0,49.1,39.12
September,1.3222,0.0319,2.412645591,Non-breeding,56,72,0,51.66,43.2
September,0.6728,0.0098,1.456599287,Non-breeding,63,80,0,41.3,35.37
September,0.6088,0.0089,1.461892247,Non-breeding,59,84,0,41.36,34.64
September,0.6871,0.0096,1.397176539,Non-breeding,51,87,0,45.84,37.42
September,0.5917,0.0073,1.233733311,Non-breeding,49,79,0,41.12,34.58
